network,geoname_id,registered_country_geoname_id,represented_country_geoname_id,is_anonymous_proxy,is_satellite_provider,is_anycast
34.0.128.0/19,6252001,6252001,,0,0,
193.186.4.0/24,2802361,2802361,,0,0,
1.179.112.0/20,3017382,3017382,,0,0,
2.56.250.0/24,2658434,2658434,,0,0,
1.0.0.0/24,2077456,2077456,,0,0,
152.114.0.0/17,2635167,2635167,,0,0,
23.141.168.0/24,1880251,1880251,,0,0,
68.169.48.0/20,6252001,6252001,,0,0,
31.44.8.0/21,2017370,2017370,,0,0,
31.44.8.0/24,2017370,2017370,,0,0,
5.45.192.0/18,660013,660013,,0,0,
37.9.64.0/24,2017370,2017370,,0,0,
