|Domain|Provider|Country|
|9gag.com|Cloudflare, Inc.|US|
|academia.edu|Amazon Technologies Inc.|US|
|accuweather.com|Akamai Technologies, Inc.|US|
|acer.com|Amazon.com, Inc.|US|
|acint.net|RIPE Network Coordination Centre|NL|
|adgrx.com|—|—|
|admost.com|CloudFlare, Inc.|US|
|adobe.com|MTS PJSC|RU|
|adobedtm.com|—|—|
|adobelogin.com|Adobe Systems Incorporated|US|
|adweek.com|Automattic, Inc|US|
|alibaba.com|Alibaba Cloud LLC|US|
|alicdn.com|Asia Pacific Network Information Centre|AU|
|aliexpress.com|Alibaba Cloud LLC|US|
|aliyun.com|Zhejiang Taobao Network Co.,Ltd|CN|
|aliyuncs.com|Aliyun Computing Co., LTD|CN|
|amazon-adsystem.com|Amazon Technologies Inc.|US|
|amazon.co.uk|Amazon Technologies Inc.|US|
|amazon.com|Amazon Technologies Inc.|US|
|amd.com|Akamai Technologies|EU|
|apache.org|Fastly, Inc.|US|
|apple.com|Apple Inc.|US|
|appsflyer.com|Amazon Technologies Inc.|US|
|arcgis.com|Amazon.com, Inc.|US|
|asana.com|Amazon Technologies Inc.|US|
|askubuntu.com|CloudFlare, Inc.|US|
|asus.com|ASUSTek COMPUTER INC.|TW|
|atlassian.com|Amazon Technologies Inc.|US|
|audible.com|Amazon Technologies Inc.|US|
|avito.ru|KEH eCommerce LLC|RU|
|basecamp.com|CloudFlare, Inc.|US|
|battle.net|RIPE Network Coordination Centre|NL|
|battlefield.com|Akamai Technologies, Inc.|US|
|behance.net|Fastly, Inc.|US|
|bing.com|Microsoft Corporation|AU|
|bitbucket.org|eu-central-1|DE|
|blizzard.com|RIPE Network Coordination Centre|NL|
|bluestacks.com|Amazon Technologies Inc.|US|
|booking.com|Amazon Technologies Inc.|US|
|bootstrapcdn.com|Render|US|
|box.com|Box.com|US|
|boxcdn.net|—|—|
|bpsecure.com|Bigpoint GmbH|DE|
|britannica.com|Amazon Technologies Inc.|US|
|bstatic.com|Amazon.com, Inc.|US|
|bungie.net|Cloudflare, Inc.|US|
|callofduty.com|Akamai Technologies, Inc.|US|
|cambridge.org|Cloudflare, Inc.|US|
|cdnjs.com|Cloudflare, Inc.|US|
|centos.org|Eweka Internet Services B.V.|NL|
|change.org|Cloudflare, Inc.|US|
|cisco.com|CISCO SYSTEMS, INC.|US|
|cnn.com|Fastly, Inc.|US|
|codecanyon.net|CloudFlare, Inc.|US|
|counter-strike.net|Akamai Technologies, Inc.|US|
